"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Dec 12 16:16:52 CET 2022","Mon Dec 12 16:16:52 CET 2022","1","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#16 Player cannot set Deposit Limit lower than the minimum amount.","#16 Player cannot set Deposit Limit lower than the minimum amount.",""
"failed","Mon Dec 12 16:19:10 CET 2022","Mon Dec 12 16:19:11 CET 2022","1085","","Promotions functionality testing. Promotions functionality for unauthenticated user.","","Promotions functionality testing. Promotions functionality for unauthenticated user.","#36 All main sections for card are displayed for OPT IN bonus for unauthenticated user.","#36 All main sections for card are displayed for OPT IN bonus for unauthenticated user.",""
"passed","Mon Dec 12 16:09:52 CET 2022","Mon Dec 12 16:10:07 CET 2022","15352","","Registration > Step 4","","Registration > Step 4","#11 User can click and view the Privacy Policy.","#11 User can click and view the Privacy Policy.",""
"failed","Mon Dec 12 16:16:52 CET 2022","Mon Dec 12 16:17:13 CET 2022","21084","","My Account > Gambling Controls > Account Closure > Take A Break","","My Account > Gambling Controls > Account Closure > Take A Break","#11 Player can continue with chosen 4 weeks option to 'Take A Break' and confirming modal should display.","#11 Player can continue with chosen 4 weeks option to 'Take A Break' and confirming modal should display.",""
"passed","Mon Dec 12 16:03:57 CET 2022","Mon Dec 12 16:03:59 CET 2022","2049","","Footer functionality testing","","Footer functionality testing","#2 Player can see payment logos","#2 Player can see payment logos",""
"passed","Mon Dec 12 16:15:42 CET 2022","Mon Dec 12 16:15:45 CET 2022","2617","","Home => Terms & Conditions","","Home => Terms & Conditions","#23 User can see the Intellectual Property section on terms and conditions page","#23 User can see the Intellectual Property section on terms and conditions page",""
"passed","Mon Dec 12 16:04:47 CET 2022","Mon Dec 12 16:05:01 CET 2022","13972","","Inbox functionality testing","","Inbox functionality testing","#3 New messages are marked with a NEW message sticker","#3 New messages are marked with a NEW message sticker",""
"skipped","Mon Dec 12 16:15:17 CET 2022","Mon Dec 12 16:15:17 CET 2022","0","","My Account > Gambling Controls > Account Closure > Self Exclusion","","My Account > Gambling Controls > Account Closure > Self Exclusion","#6 Player can select a reason for taking self exclusion the drop down menu.","#6 Player can select a reason for taking self exclusion the drop down menu.",""
"passed","Mon Dec 12 16:11:41 CET 2022","Mon Dec 12 16:11:56 CET 2022","15330","","Spin Zone functionality testing","","Spin Zone functionality testing","#10 Player can close game","#10 Player can close game",""
"passed","Mon Dec 12 16:08:02 CET 2022","Mon Dec 12 16:08:20 CET 2022","17536","","My Profile > Contact Details","","My Profile > Contact Details","#06 Player can update country code number.","#06 Player can update country code number.",""
"failed","Mon Dec 12 16:15:37 CET 2022","Mon Dec 12 16:15:50 CET 2022","12588","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#7 Player can open the Deposit Limits Delete modal on delete icon click.","#7 Player can open the Deposit Limits Delete modal on delete icon click.",""
"passed","Mon Dec 12 16:14:08 CET 2022","Mon Dec 12 16:14:10 CET 2022","2505","","404 error page functionality testing.","","404 error page functionality testing.","#4 Player can click ""Logo"" button and after that it will redirect to Home page.","#4 Player can click ""Logo"" button and after that it will redirect to Home page.",""
"failed","Mon Dec 12 16:14:41 CET 2022","Mon Dec 12 16:14:55 CET 2022","13977","","Slots page","","Slots page","#13 User logged in and hover the game card and click on CTA ""PLAY NOW"" and go to game page","#13 User logged in and hover the game card and click on CTA ""PLAY NOW"" and go to game page",""
"passed","Mon Dec 12 16:06:12 CET 2022","Mon Dec 12 16:06:29 CET 2022","17788","","My Account > Gambling Controls > Loss Limits","","My Account > Gambling Controls > Loss Limits","#3 User can close the Loss Limits Edit modal","#3 User can close the Loss Limits Edit modal",""
"passed","Mon Dec 12 16:14:36 CET 2022","Mon Dec 12 16:14:38 CET 2022","2292","","Slots page","","Slots page","#11 User click on category and go to category page","#11 User click on category and go to category page",""
"passed","Mon Dec 12 16:08:25 CET 2022","Mon Dec 12 16:08:32 CET 2022","7293","","Registration > Step 1","","Registration > Step 1","#05 User can select the 'Login' button on the 'Account already exists' drawer and is displayed the Login form.","#05 User can select the 'Login' button on the 'Account already exists' drawer and is displayed the Login form.",""
"passed","Mon Dec 12 16:04:28 CET 2022","Mon Dec 12 16:04:30 CET 2022","2587","","Live Casino","","Live Casino","#04 Hero carousel slide are displayed.","#04 Hero carousel slide are displayed.",""
"failed","Mon Dec 12 16:16:15 CET 2022","Mon Dec 12 16:16:21 CET 2022","5676","","My Account > Settings > Change Password","","My Account > Settings > Change Password","#13 Player cannot continue to next step if their new password does not meet the minimum password requirements.","#13 Player cannot continue to next step if their new password does not meet the minimum password requirements.",""
"passed","Mon Dec 12 16:06:21 CET 2022","Mon Dec 12 16:06:46 CET 2022","25408","","Inbox functionality testing","","Inbox functionality testing","#10 Deleting a message from the inbox which is marked as new should decrease the unread message count badge","#10 Deleting a message from the inbox which is marked as new should decrease the unread message count badge",""
"passed","Mon Dec 12 16:10:32 CET 2022","Mon Dec 12 16:10:38 CET 2022","6731","","Registration > Step 3","","Registration > Step 3","#14 Phone Number will display an error when entering non-numeric values into input.","#14 Phone Number will display an error when entering non-numeric values into input.",""
"passed","Mon Dec 12 16:17:28 CET 2022","Mon Dec 12 16:17:39 CET 2022","10693","","My Account > Gambling Controls > Account Closure > Self Exclusion","","My Account > Gambling Controls > Account Closure > Self Exclusion","#17 Player can press 'BACK' for confirmating modal after chosen for 6 months 'Self Exclusion' and should return to previous step.","#17 Player can press 'BACK' for confirmating modal after chosen for 6 months 'Self Exclusion' and should return to previous step.",""
"passed","Mon Dec 12 16:14:07 CET 2022","Mon Dec 12 16:14:12 CET 2022","4579","","Slots page","","Slots page","#4 User can see game carousel and can scroll it","#4 User can see game carousel and can scroll it",""
"passed","Mon Dec 12 16:19:01 CET 2022","Mon Dec 12 16:19:02 CET 2022","1371","","Promotions functionality testing. Promotions functionality for unauthenticated user.","","Promotions functionality testing. Promotions functionality for unauthenticated user.","#26 Promotion page is displayed for not login user.","#26 Promotion page is displayed for not login user.",""
"passed","Mon Dec 12 16:10:09 CET 2022","Mon Dec 12 16:10:17 CET 2022","8015","","Registration > Step 3","","Registration > Step 3","#11 User can enter valid details on Step 3 and progress to Step 4 of the registration process.","#11 User can enter valid details on Step 3 and progress to Step 4 of the registration process.",""
