"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 01 13:41:28 CET 2022","Tue Nov 01 13:41:38 CET 2022","9544","","Registration > Step 1","","Registration > Step 1","#04 User can select the 'Recover' button on the 'Account already exists' drawer and is displayed the Recover Password form.","#04 User can select the 'Recover' button on the 'Account already exists' drawer and is displayed the Recover Password form.",""
"passed","Tue Nov 01 13:42:33 CET 2022","Tue Nov 01 13:42:40 CET 2022","6548","","Registration > Step 2","","Registration > Step 2","#07 User cannot enter numbers into step 2 name input fields.","#07 User cannot enter numbers into step 2 name input fields.",""
"passed","Tue Nov 01 13:42:06 CET 2022","Tue Nov 01 13:42:24 CET 2022","18225","","My Profile > Communications Preferences","","My Profile > Communications Preferences","#10 Player can unselect just email preferences using the email toggle (email already toggled on), which upon saving updates the account area accordingly","#10 Player can unselect just email preferences using the email toggle (email already toggled on), which upon saving updates the account area accordingly",""
"passed","Tue Nov 01 13:44:05 CET 2022","Tue Nov 01 13:44:16 CET 2022","11674","","Registration > Step 3","","Registration > Step 3","#07 User cannot enter invalid characters into the Address Line 1 field.","#07 User cannot enter invalid characters into the Address Line 1 field.",""
"passed","Tue Nov 01 14:05:41 CET 2022","Tue Nov 01 14:05:51 CET 2022","10748","","Promotions functionality testing. Promotions functionality for authenticated user. Particular promotions.","","Promotions functionality testing. Promotions functionality for authenticated user. Particular promotions.","#17 User can opt in bonus and get modal with all sections, click on the primary CTA and procceds with the journey","#17 User can opt in bonus and get modal with all sections, click on the primary CTA and procceds with the journey",""
"passed","Tue Nov 01 13:32:42 CET 2022","Tue Nov 01 13:32:57 CET 2022","14391","","Deep Link -> Change Password","","Deep Link -> Change Password","#2 Deep link to change password open login when not logged in before change password","#2 Deep link to change password open login when not logged in before change password",""
"passed","Tue Nov 01 13:33:10 CET 2022","Tue Nov 01 13:33:20 CET 2022","9963","","Log In","","Log In","#15 Player can successfully Log In when entering valid details.","#15 Player can successfully Log In when entering valid details.",""
"failed","Tue Nov 01 13:58:07 CET 2022","Tue Nov 01 13:58:36 CET 2022","28850","","My Account -> Deposit","","My Account -> Deposit","#1 Check user is able to access the deposit modal via the account menu and is displayed with the option to fill in card details by default","#1 Check user is able to access the deposit modal via the account menu and is displayed with the option to fill in card details by default",""
"passed","Tue Nov 01 13:58:21 CET 2022","Tue Nov 01 13:58:26 CET 2022","4097","","Home => Terms & Conditions","","Home => Terms & Conditions","#24 User can see the Limitation of Liability section on terms and conditions page","#24 User can see the Limitation of Liability section on terms and conditions page",""
"passed","Tue Nov 01 13:58:11 CET 2022","Tue Nov 01 13:58:16 CET 2022","4951","","Home => Terms & Conditions","","Home => Terms & Conditions","#22 User can see the Promotions section on terms and conditions page","#22 User can see the Promotions section on terms and conditions page",""
"failed","Tue Nov 01 13:39:04 CET 2022","Tue Nov 01 13:40:09 CET 2022","64681","","My Account > Settings > Change Password","","My Account > Settings > Change Password","#1 Player can close the Change Password modal.","#1 Player can close the Change Password modal.",""
"passed","Tue Nov 01 14:01:57 CET 2022","Tue Nov 01 14:02:15 CET 2022","17957","","My Account > Gambling Controls > Loss Limits","","My Account > Gambling Controls > Loss Limits","#15 User can submit a blank value in the Loss Limit. ","#15 User can submit a blank value in the Loss Limit. ",""
"failed","Tue Nov 01 13:43:25 CET 2022","Tue Nov 01 13:44:30 CET 2022","64662","","My Account > Settings > Change Password","","My Account > Settings > Change Password","#5 Player cannot submit the Change Password form with blank details.","#5 Player cannot submit the Change Password form with blank details.",""
"passed","Tue Nov 01 13:30:23 CET 2022","Tue Nov 01 13:30:25 CET 2022","1899","","Expired Link Error","","Expired Link Error","#1 Expired Link Error page is displayed","#1 Expired Link Error page is displayed",""
"failed","Tue Nov 01 14:02:06 CET 2022","Tue Nov 01 14:02:32 CET 2022","25371","","My Account -> Deposit","","My Account -> Deposit","#8 Check user is displayed with a declined modal when safecharge returns a declined response","#8 Check user is displayed with a declined modal when safecharge returns a declined response",""
"failed","Tue Nov 01 14:12:08 CET 2022","Tue Nov 01 14:13:11 CET 2022","63163","","Homepage","","Homepage","#14 Casino amount does not display when total bonus amount is zero and displays correct total balance of £0.00","#14 Casino amount does not display when total bonus amount is zero and displays correct total balance of £0.00",""
"passed","Tue Nov 01 13:42:54 CET 2022","Tue Nov 01 13:43:00 CET 2022","6533","","Registration > Step 2","","Registration > Step 2","#12 User cannot enter an invalid date into the date of birth field.","#12 User cannot enter an invalid date into the date of birth field.",""
"passed","Tue Nov 01 13:41:15 CET 2022","Tue Nov 01 13:41:32 CET 2022","16745","","My Profile > Communications Preferences","","My Profile > Communications Preferences","#7 Player can edit their preferences and select just the Post toggle, which upon saving updates the account area accordingly","#7 Player can edit their preferences and select just the Post toggle, which upon saving updates the account area accordingly",""
"passed","Tue Nov 01 14:03:53 CET 2022","Tue Nov 01 14:04:04 CET 2022","10874","","Promotions functionality testing. Promotions functionality for authenticated user. Blocks of promotions.","","Promotions functionality testing. Promotions functionality for authenticated user. Blocks of promotions.","#7 Promotions are displayed in correct order.","#7 Promotions are displayed in correct order.",""
"passed","Tue Nov 01 13:42:04 CET 2022","Tue Nov 01 13:42:11 CET 2022","7161","","Registration > Step 2","","Registration > Step 2","#03 First Name is a mandatory field.","#03 First Name is a mandatory field.",""
"passed","Tue Nov 01 14:07:42 CET 2022","Tue Nov 01 14:07:44 CET 2022","1597","","Promotions functionality testing. Promotions functionality for unauthenticated user.","","Promotions functionality testing. Promotions functionality for unauthenticated user.","#26 Promotion page is displayed for not login user.","#26 Promotion page is displayed for not login user.",""
"failed","Tue Nov 01 13:58:02 CET 2022","Tue Nov 01 13:58:06 CET 2022","4209","","Home => Terms & Conditions","","Home => Terms & Conditions","#20 User can see the Suspension/Termination of your Account section on terms and conditions page","#20 User can see the Suspension/Termination of your Account section on terms and conditions page",""
"failed","Tue Nov 01 13:57:15 CET 2022","Tue Nov 01 13:57:23 CET 2022","7635","","Home page => Privacy Policy page","","Home page => Privacy Policy page","#4 User can come to the ICO(Information Commissioner's office) page from Privacy Policy page","#4 User can come to the ICO(Information Commissioner's office) page from Privacy Policy page",""
"failed","Tue Nov 01 13:56:16 CET 2022","Tue Nov 01 13:56:19 CET 2022","2954","","Footer functionality testing","","Footer functionality testing","#1 Player can see a light grey bar at the top of the footer","#1 Player can see a light grey bar at the top of the footer",""
"passed","Tue Nov 01 14:02:44 CET 2022","Tue Nov 01 14:03:08 CET 2022","23918","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#22 Player can close 'How deposit limits work' modal.","#22 Player can close 'How deposit limits work' modal.",""
"passed","Tue Nov 01 13:34:20 CET 2022","Tue Nov 01 13:34:35 CET 2022","15298","","My Account > Gambling Controls > Play Reminders","","My Account > Gambling Controls > Play Reminders","#1 Player can select to edit their 'Time Limit' and is displayed the Play Reminders modal.","#1 Player can select to edit their 'Time Limit' and is displayed the Play Reminders modal.",""
"failed","Tue Nov 01 13:56:38 CET 2022","Tue Nov 01 13:56:44 CET 2022","6533","","Home page => Privacy Policy page","","Home page => Privacy Policy page","#0 User can come to the Privacy Policy page","#0 User can come to the Privacy Policy page",""
"passed","Tue Nov 01 13:56:39 CET 2022","Tue Nov 01 13:56:42 CET 2022","3138","","Home => Terms & Conditions","","Home => Terms & Conditions","#4 User can come to the Responsible Gambling page from terms and conditions page","#4 User can come to the Responsible Gambling page from terms and conditions page",""
"failed","Tue Nov 01 14:00:06 CET 2022","Tue Nov 01 14:00:23 CET 2022","17543","","My Account > Gambling Controls > Account Closure > Self Exclusion","","My Account > Gambling Controls > Account Closure > Self Exclusion","#9 Player can choose 18 months option for 'Self Exclusion' and this option should be selected.","#9 Player can choose 18 months option for 'Self Exclusion' and this option should be selected.",""
"failed","Tue Nov 01 14:00:04 CET 2022","Tue Nov 01 14:00:25 CET 2022","20910","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#9 Player can successfully update a daily deposit limit in the Deposit Limits Delete modal","#9 Player can successfully update a daily deposit limit in the Deposit Limits Delete modal",""
"passed","Tue Nov 01 13:58:36 CET 2022","Tue Nov 01 13:58:42 CET 2022","6570","","Home => Terms & Conditions","","Home => Terms & Conditions","#27 User can opened mail client after clicks/taps on “care@merkurslots.com” ","#27 User can opened mail client after clicks/taps on “care@merkurslots.com” ",""
"failed","Tue Nov 01 13:57:26 CET 2022","Tue Nov 01 13:57:59 CET 2022","32752","","Deep Link -> Edit Phone","","Deep Link -> Edit Phone","#2 Deep link to change password open login when not logged in before change password","#2 Deep link to change password open login when not logged in before change password",""
"passed","Tue Nov 01 14:08:32 CET 2022","Tue Nov 01 14:08:39 CET 2022","7092","","Promotions functionality testing. Promotions functionality for unauthenticated user.","","Promotions functionality testing. Promotions functionality for unauthenticated user.","#46 User clicks button CLAIM for already CLAIMED bonus, successfully login and can see drawer ""This promotion is unavailable"".","#46 User clicks button CLAIM for already CLAIMED bonus, successfully login and can see drawer ""This promotion is unavailable"".",""
"passed","Tue Nov 01 13:43:32 CET 2022","Tue Nov 01 13:43:36 CET 2022","3430","","Slots page","","Slots page","#2 User can see hero banner carousel and can scroll it","#2 User can see hero banner carousel and can scroll it",""
"passed","Tue Nov 01 13:38:14 CET 2022","Tue Nov 01 13:38:30 CET 2022","15748","","My Profile > Contact Details","","My Profile > Contact Details","#01 Player can view their contact details.","#01 Player can view their contact details.",""
"passed","Tue Nov 01 13:44:22 CET 2022","Tue Nov 01 13:44:25 CET 2022","3793","","Slots page","","Slots page","#12 User can see category and can scroll it","#12 User can see category and can scroll it",""
"passed","Tue Nov 01 13:39:21 CET 2022","Tue Nov 01 13:39:37 CET 2022","15269","","My Profile > Contact Details","","My Profile > Contact Details","#04 Player can update their telephone number.","#04 Player can update their telephone number.",""
"passed","Tue Nov 01 13:40:44 CET 2022","Tue Nov 01 13:40:50 CET 2022","6307","","Recover Password","","Recover Password","#01 Player can navigate to the recover password form and is displayed with the correct fields.","#01 Player can navigate to the recover password form and is displayed with the correct fields.",""
"passed","Tue Nov 01 13:39:46 CET 2022","Tue Nov 01 13:39:57 CET 2022","11651","","My Profile > Communications Preferences","","My Profile > Communications Preferences","#1 Player can view their communication preferences (default preferences: empty communication preferences and English language)","#1 Player can view their communication preferences (default preferences: empty communication preferences and English language)",""
"passed","Tue Nov 01 13:56:43 CET 2022","Tue Nov 01 13:56:47 CET 2022","4169","","Footer functionality testing","","Footer functionality testing","#5 Player can see legal and company information","#5 Player can see legal and company information",""
"failed","Tue Nov 01 14:01:32 CET 2022","Tue Nov 01 14:01:51 CET 2022","19089","","My Account > Gambling Controls > Account Closure > Take A Break","","My Account > Gambling Controls > Account Closure > Take A Break","#9 Player can continue with chosen 24 hours option to 'Take A Break' and confirming modal should display.","#9 Player can continue with chosen 24 hours option to 'Take A Break' and confirming modal should display.",""
"failed","Tue Nov 01 13:59:31 CET 2022","Tue Nov 01 13:59:56 CET 2022","24385","","My Account -> Deposit","","My Account -> Deposit","#6 Check user is able to select PayPal payment method and is provided with the correct information for this payment method","#6 Check user is able to select PayPal payment method and is provided with the correct information for this payment method",""
"failed","Tue Nov 01 14:07:54 CET 2022","Tue Nov 01 14:08:58 CET 2022","63680","","Homepage","","Homepage","#10 User is displayed with a shortened balance in the preview section when balance exceeds 9999 (five figure balance)","#10 User is displayed with a shortened balance in the preview section when balance exceeds 9999 (five figure balance)",""
"failed","Tue Nov 01 13:59:16 CET 2022","Tue Nov 01 14:00:22 CET 2022","66576","","Homepage","","Homepage","#2 Authenticated users can preview their balance in the navigation bar","#2 Authenticated users can preview their balance in the navigation bar",""
"skipped","Tue Nov 01 14:01:25 CET 2022","Tue Nov 01 14:01:25 CET 2022","1","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#14 Player can successfully set Deposit Limit to the minimum allowed value and will receive a success toast on submitting the new amount.","#14 Player can successfully set Deposit Limit to the minimum allowed value and will receive a success toast on submitting the new amount.",""
