"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 08 11:15:29 CET 2022","Thu Dec 08 11:16:11 CET 2022","42556","","My Account > Gambling Controls > Loss Limits","","My Account > Gambling Controls > Loss Limits","#3 User can close the Loss Limits Edit modal","#3 User can close the Loss Limits Edit modal",""
"passed","Thu Dec 08 11:17:50 CET 2022","Thu Dec 08 11:18:27 CET 2022","37095","","Homepage","","Homepage","#13 Balance details still correctly display balance of £0.00 if user has no cash balance","#13 Balance details still correctly display balance of £0.00 if user has no cash balance",""
"failed","Thu Dec 08 11:10:37 CET 2022","Thu Dec 08 11:10:57 CET 2022","20953","","Deep Link -> Edit Phone","","Deep Link -> Edit Phone","#1 Deep link to edit phone opens when logged in","#1 Deep link to edit phone opens when logged in",""
"passed","Thu Dec 08 11:09:28 CET 2022","Thu Dec 08 11:09:36 CET 2022","8129","","Promotions functionality testing. Bonus details testing.","","Promotions functionality testing. Bonus details testing.","#54 Bonus status is canceled after clicking Yes cancel btn for cancel drawer.","#54 Bonus status is canceled after clicking Yes cancel btn for cancel drawer.",""
"passed","Thu Dec 08 11:12:49 CET 2022","Thu Dec 08 11:13:40 CET 2022","50927","","My Account -> Deposit","","My Account -> Deposit","#2 Check user is able to exit out of the deposit modal using the x button","#2 Check user is able to exit out of the deposit modal using the x button",""
"failed","Thu Dec 08 11:46:53 CET 2022","Thu Dec 08 11:47:08 CET 2022","14826","","Spin Zone functionality testing","","Spin Zone functionality testing","#8 Player can open 'Search Games' modal","#8 Player can open 'Search Games' modal",""
"passed","Thu Dec 08 11:11:12 CET 2022","Thu Dec 08 11:11:35 CET 2022","22859","","Logout","","Logout","#02 Player is logged out of site if clearing there cookies.","#02 Player is logged out of site if clearing there cookies.",""
"passed","Thu Dec 08 11:30:39 CET 2022","Thu Dec 08 11:31:23 CET 2022","43670","","My Account > Gambling Controls > Account Closure > Self Exclusion","","My Account > Gambling Controls > Account Closure > Self Exclusion","#16 Player can continue with chosen 5 years option to 'Self Exclusion' and confirming modal should display.","#16 Player can continue with chosen 5 years option to 'Self Exclusion' and confirming modal should display.",""
"failed","Thu Dec 08 12:35:19 CET 2022","Thu Dec 08 12:35:31 CET 2022","11868","","My Profile > Contact Details","","My Profile > Contact Details","#01 Player can view their contact details.","#01 Player can view their contact details.",""
"passed","Thu Dec 08 11:22:44 CET 2022","Thu Dec 08 11:23:51 CET 2022","66590","","My Account > Gambling Controls > Loss Limits","","My Account > Gambling Controls > Loss Limits","#13 User cannot set a Loss Limit lower than the minimum amount. ","#13 User cannot set a Loss Limit lower than the minimum amount. ",""
"passed","Thu Dec 08 10:39:46 CET 2022","Thu Dec 08 10:40:04 CET 2022","18329","","Landing Page/Welcome Casino page","","Landing Page/Welcome Casino page","#3 User clicks on ""Be Aware Gambling"" image at Welcome Casino page","#3 User clicks on ""Be Aware Gambling"" image at Welcome Casino page",""
"passed","Thu Dec 08 10:42:25 CET 2022","Thu Dec 08 10:42:40 CET 2022","14895","","Landing Page/Shop Welcome page","","Landing Page/Shop Welcome page","#3 User clicks on ""Be Aware Gambling"" image at Shop Welcome page","#3 User clicks on ""Be Aware Gambling"" image at Shop Welcome page",""
"failed","Thu Dec 08 11:08:44 CET 2022","Thu Dec 08 11:08:46 CET 2022","1652","","Promotions functionality testing. Promotions functionality for unauthenticated user.","","Promotions functionality testing. Promotions functionality for unauthenticated user.","#46 User clicks button CLAIM for already CLAIMED bonus, successfully login and can see drawer ""This promotion is unavailable"".","#46 User clicks button CLAIM for already CLAIMED bonus, successfully login and can see drawer ""This promotion is unavailable"".",""
"failed","Thu Dec 08 11:29:51 CET 2022","Thu Dec 08 11:31:01 CET 2022","70386","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#20 Player can close 'History' modal.","#20 Player can close 'History' modal.",""
"passed","Thu Dec 08 11:31:18 CET 2022","Thu Dec 08 11:31:37 CET 2022","19021","","Registration > Step 3","","Registration > Step 3","#16 Phone Number will display an error when entering non-numeric values into input.","#16 Phone Number will display an error when entering non-numeric values into input.",""
"passed","Thu Dec 08 10:35:18 CET 2022","Thu Dec 08 10:35:35 CET 2022","17072","","Landing Page/Welcome Offer page","","Landing Page/Welcome Offer page","#5 User try to click on PLAY CTA of Popular game at Welcome Offer page","#5 User try to click on PLAY CTA of Popular game at Welcome Offer page",""
"passed","Thu Dec 08 11:10:42 CET 2022","Thu Dec 08 11:11:12 CET 2022","30247","","Logout","","Logout","#01 Player can successfully logout.","#01 Player can successfully logout.",""
"passed","Thu Dec 08 11:15:52 CET 2022","Thu Dec 08 11:16:33 CET 2022","40948","","Inbox functionality testing","","Inbox functionality testing","#7 Player can mark a message as read using the message options, removing the new badge from a message and decreasing the unread message count badge","#7 Player can mark a message as read using the message options, removing the new badge from a message and decreasing the unread message count badge",""
"passed","Thu Dec 08 11:53:22 CET 2022","Thu Dec 08 11:53:39 CET 2022","17009","","My Account > Settings > Change Password","","My Account > Settings > Change Password","#4 New Password is a mandatory field.","#4 New Password is a mandatory field.",""
"passed","Thu Dec 08 11:22:20 CET 2022","Thu Dec 08 11:23:21 CET 2022","61392","","My Profile > Communications Preferences","","My Profile > Communications Preferences","#4 Player can edit their preferences and toggle all preferences with the select all toggle, which upon saving updates the account area","#4 Player can edit their preferences and toggle all preferences with the select all toggle, which upon saving updates the account area",""
"failed","Thu Dec 08 11:10:58 CET 2022","Thu Dec 08 11:11:24 CET 2022","26151","","Deep Link -> Change Password","","Deep Link -> Change Password","#2 Deep link to change password open login when not logged in before change password","#2 Deep link to change password open login when not logged in before change password",""
"passed","Thu Dec 08 11:37:30 CET 2022","Thu Dec 08 11:37:33 CET 2022","3494","","Home => Terms & Conditions","","Home => Terms & Conditions","#2 User can come to the privacy policy page from terms and conditions page","#2 User can come to the privacy policy page from terms and conditions page",""
"passed","Thu Dec 08 11:17:04 CET 2022","Thu Dec 08 11:17:36 CET 2022","31988","","Inbox functionality testing","","Inbox functionality testing","#9 Player is presented with an updated list of messages when clicking view more button","#9 Player is presented with an updated list of messages when clicking view more button",""
"failed","Thu Dec 08 11:24:47 CET 2022","Thu Dec 08 11:25:32 CET 2022","44838","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#12 Player can successfully set a monthly deposit limit if not already set.","#12 Player can successfully set a monthly deposit limit if not already set.",""
"passed","Thu Dec 08 11:08:24 CET 2022","Thu Dec 08 11:08:26 CET 2022","2001","","Venue > Search and expanded view","","Venue > Search and expanded view","#03 User see 8 search results for desktop and 5 for mobile and see pagination panel.","#03 User see 8 search results for desktop and 5 for mobile and see pagination panel.",""
"passed","Thu Dec 08 10:38:01 CET 2022","Thu Dec 08 10:38:17 CET 2022","15444","","Landing Page/Welcome Games page","","Landing Page/Welcome Games page","#6 User can click on the WELCOME BONUS FULL TERMS AND CONDITIONS","#6 User can click on the WELCOME BONUS FULL TERMS AND CONDITIONS",""
"failed","Thu Dec 08 11:20:03 CET 2022","Thu Dec 08 11:20:50 CET 2022","46932","","My Account > Gambling Controls > Account Closure > Self Exclusion","","My Account > Gambling Controls > Account Closure > Self Exclusion","#7 Player can choose 6 months option for 'Self Exclusion' and this option should be selected.","#7 Player can choose 6 months option for 'Self Exclusion' and this option should be selected.",""
"passed","Thu Dec 08 11:17:03 CET 2022","Thu Dec 08 11:17:46 CET 2022","42786","","My Account > Gambling Controls > Account Closure > Take A Break","","My Account > Gambling Controls > Account Closure > Take A Break","#2 Player can close the take a break modal.","#2 Player can close the take a break modal.",""
"passed","Thu Dec 08 10:39:10 CET 2022","Thu Dec 08 10:39:27 CET 2022","17649","","Landing Page/Welcome Casino page","","Landing Page/Welcome Casino page","#1 User come to the Welcome Casino page ","#1 User come to the Welcome Casino page ",""
"failed","Thu Dec 08 11:16:19 CET 2022","Thu Dec 08 11:17:03 CET 2022","44027","","My Account > Gambling Controls > Account Closure > Take A Break","","My Account > Gambling Controls > Account Closure > Take A Break","#1 Player can select take a break menu item from 'Account Closure' and Take A Break contain is displayed.","#1 Player can select take a break menu item from 'Account Closure' and Take A Break contain is displayed.",""
"passed","Thu Dec 08 11:03:37 CET 2022","Thu Dec 08 11:04:12 CET 2022","35888","","Promotions functionality testing. Promotions functionality for authenticated user. Particular promotions.","","Promotions functionality testing. Promotions functionality for authenticated user. Particular promotions.","#21 User can click on the terms and conditions link and the terms and conditions are displayed for deposit bonus.","#21 User can click on the terms and conditions link and the terms and conditions are displayed for deposit bonus.",""
"passed","Thu Dec 08 10:36:27 CET 2022","Thu Dec 08 10:36:45 CET 2022","17525","","Log In","","Log In","#02 Email Address is a mandatory field.","#02 Email Address is a mandatory field.",""
"passed","Thu Dec 08 11:16:44 CET 2022","Thu Dec 08 11:17:33 CET 2022","48350","","My Account > Gambling Controls > Account Closure > Self Exclusion","","My Account > Gambling Controls > Account Closure > Self Exclusion","#1 Player can select the 'Self Exclusion' menu item and is displayed the Self Exclusion modal.","#1 Player can select the 'Self Exclusion' menu item and is displayed the Self Exclusion modal.",""
"passed","Thu Dec 08 11:08:34 CET 2022","Thu Dec 08 11:08:38 CET 2022","3863","","Promotions functionality testing. Promotions functionality for unauthenticated user.","","Promotions functionality testing. Promotions functionality for unauthenticated user.","#43 User can go to More Info details after click More Info CTA.","#43 User can go to More Info details after click More Info CTA.",""
"passed","Thu Dec 08 11:14:35 CET 2022","Thu Dec 08 11:15:18 CET 2022","43161","","Inbox functionality testing","","Inbox functionality testing","#5 Player can open message, removing the new badge from a message and decreasing the unread message count badge","#5 Player can open message, removing the new badge from a message and decreasing the unread message count badge",""
"skipped","Thu Dec 08 11:32:04 CET 2022","Thu Dec 08 11:32:04 CET 2022","2","","My Account > Gambling Controls > Account Closure > Self Exclusion","","My Account > Gambling Controls > Account Closure > Self Exclusion","#18 Player can continue with chosen 6 months option to 'Self Exclusion' and confirming modal should display.","#18 Player can continue with chosen 6 months option to 'Self Exclusion' and confirming modal should display.",""
"passed","Thu Dec 08 11:01:15 CET 2022","Thu Dec 08 11:01:50 CET 2022","34943","","Promotions functionality testing. Promotions functionality for authenticated user. Particular promotions.","","Promotions functionality testing. Promotions functionality for authenticated user. Particular promotions.","#17 User can opt in bonus and get modal with all sections, click on the primary CTA and procceds with the journey","#17 User can opt in bonus and get modal with all sections, click on the primary CTA and procceds with the journey",""
"failed","Thu Dec 08 12:08:49 CET 2022","Thu Dec 08 12:09:25 CET 2022","35892","","My Account > Gambling Controls > Play Reminders","","My Account > Gambling Controls > Play Reminders","#2 Player can close the 'Time Limit' modal.","#2 Player can close the 'Time Limit' modal.",""
"passed","Thu Dec 08 10:34:34 CET 2022","Thu Dec 08 10:34:45 CET 2022","10638","","Home page => Privacy Policy page","","Home page => Privacy Policy page","#0 User can come to the Privacy Policy page","#0 User can come to the Privacy Policy page",""
"passed","Thu Dec 08 11:00:59 CET 2022","Thu Dec 08 11:01:12 CET 2022","12838","","Registration > Step 1","","Registration > Step 1","#12 User can successfully enter email address with local domain (.de).","#12 User can successfully enter email address with local domain (.de).",""
"passed","Thu Dec 08 11:14:20 CET 2022","Thu Dec 08 11:15:00 CET 2022","40214","","My Account > Gambling Controls > Loss Limits","","My Account > Gambling Controls > Loss Limits","#1 User can view their Loss limits ","#1 User can view their Loss limits ",""
"failed","Thu Dec 08 10:54:25 CET 2022","Thu Dec 08 10:54:47 CET 2022","21667","","Promotions functionality testing. Promotions functionality for authenticated user. Blocks of promotions.","","Promotions functionality testing. Promotions functionality for authenticated user. Blocks of promotions.","#3 Active promotions are displayed in correct order.","#3 Active promotions are displayed in correct order.",""
"failed","Thu Dec 08 11:20:36 CET 2022","Thu Dec 08 11:21:12 CET 2022","36528","","My Profile > Communications Preferences","","My Profile > Communications Preferences","#2 Player can edit their preferences and exit using the x close button within the modal discarding changes","#2 Player can edit their preferences and exit using the x close button within the modal discarding changes",""
"passed","Thu Dec 08 11:00:59 CET 2022","Thu Dec 08 11:01:13 CET 2022","13975","","Registration > Step 2","","Registration > Step 2","#07 User cannot enter numbers into step 2 name input fields.","#07 User cannot enter numbers into step 2 name input fields.",""
"passed","Thu Dec 08 11:11:14 CET 2022","Thu Dec 08 11:11:40 CET 2022","26615","","Homepage","","Homepage","#3 The detailed balance card is shown when the dropdown chevron is clicked","#3 The detailed balance card is shown when the dropdown chevron is clicked",""
"passed","Thu Dec 08 10:34:12 CET 2022","Thu Dec 08 10:34:15 CET 2022","2576","","Service unavailable","","Service unavailable","#1 The user is on the Location Error page","#1 The user is on the Location Error page",""
"passed","Thu Dec 08 11:25:22 CET 2022","Thu Dec 08 11:26:24 CET 2022","61822","","My Account > Gambling Controls > Loss Limits","","My Account > Gambling Controls > Loss Limits","#16 User can only enter numeric digits into the set Loss Limit field. ","#16 User can only enter numeric digits into the set Loss Limit field. ",""
"passed","Thu Dec 08 11:54:19 CET 2022","Thu Dec 08 11:54:31 CET 2022","11858","","My Account > Settings > Change Password","","My Account > Settings > Change Password","#8 New password must contain a number.","#8 New password must contain a number.",""
"passed","Thu Dec 08 11:00:05 CET 2022","Thu Dec 08 11:00:22 CET 2022","17392","","Registration > Step 1","","Registration > Step 1","#06 User can not register with an email address that already exists.","#06 User can not register with an email address that already exists.",""
"passed","Thu Dec 08 11:03:20 CET 2022","Thu Dec 08 11:03:44 CET 2022","24855","","Registration > Step 4","","Registration > Step 4","#07 User can opt in to receive Phone marketing preferences.","#07 User can opt in to receive Phone marketing preferences.",""
"passed","Thu Dec 08 10:37:11 CET 2022","Thu Dec 08 10:37:29 CET 2022","17907","","Home page => Privacy Policy page","","Home page => Privacy Policy page","#7 After clicking on the first link from 'What personal data do we collect? -> Players', the user should see the page  https://www.merkurslots.com/.","#7 After clicking on the first link from 'What personal data do we collect? -> Players', the user should see the page  https://www.merkurslots.com/.",""
"passed","Thu Dec 08 11:38:37 CET 2022","Thu Dec 08 11:38:40 CET 2022","3171","","Home => Terms & Conditions","","Home => Terms & Conditions","#21 User can see the Responsible Gambling section on terms and conditions page","#21 User can see the Responsible Gambling section on terms and conditions page",""
"passed","Thu Dec 08 11:01:33 CET 2022","Thu Dec 08 11:01:46 CET 2022","13488","","Registration > Step 1","","Registration > Step 1","#28 User can enter valid details on Step 1 and progress to Step 2 of the registration process.","#28 User can enter valid details on Step 1 and progress to Step 2 of the registration process.",""
"passed","Thu Dec 08 11:38:24 CET 2022","Thu Dec 08 11:38:27 CET 2022","3025","","Home => Terms & Conditions","","Home => Terms & Conditions","#17 User can see the Errors, Interruptions and Malfunctions section on terms and conditions page","#17 User can see the Errors, Interruptions and Malfunctions section on terms and conditions page",""
"passed","Thu Dec 08 10:37:54 CET 2022","Thu Dec 08 10:38:19 CET 2022","24089","","Log In","","Log In","#07 Player cannot login when entering an incorrect password.","#07 Player cannot login when entering an incorrect password.",""
